DATA;NOME FUNDO;TAXA ADM;PERFIL DE INVEST.;COTA;PATRIM.
12/05/2021;FI BRASIL IRF-M TP RF LP;0,2;Moderado;2,293806;1.738,06
12/05/2021;FI BRASIL IDKA IPCA 2A RF LP;0,2;Moderado;2,42519;11.596,39
12/05/2021;FIC RELACIONAMENTO IDEAL RF LP;1;Moderado;1,923245;39,643
12/05/2021;FI ALIANCA TP RF;0,2;Moderado;4,291352;572,472
12/05/2021;FIC INVESTIDOR RF LP;0,85;Moderado;10,963497;1.608,38
12/05/2021;FI SAUDE SUPLEMENTAR-ANS RF LP;0,35;Conservador;2,936121;957,791
12/05/2021;FIC EXPANDIR RF LP;0,9;Moderado;1,884123;30,606
12/05/2021;FIC E-FUNDO RF LP;0,7;Moderado;1,924757;62,514
12/05/2021;FIC RELACIONAMENTO PERSONAL RF LP;0,7;Moderado;1,993833;138,498
12/05/2021;FIC EXPERTISE RF CRED PRIV LP;0,5;Moderado;2,752966;983,712
12/05/2021;FIC FOCO IND PRECOS RF LP;1;Moderado;2,091552;1.080,62
12/05/2021;FIC SELECAO RF;1,1;Conservador;9,590894;15,263
12/05/2021;FI INSTITUCIONAL TTULOS PBLICOS  RF LP;0,1;Conservador;2,724993;8,36
12/05/2021;FIC SUPREMO RF LP;0,8;Moderado;3,556962;303,325
12/05/2021;FIC PERSONAL RF LP;0,6;Moderado;17,40664;4.559,27
12/05/2021;FIC PATRIMONIO IND PRECOS RF LP;0,3;Moderado;15,276131;471,622
12/05/2021;FI DIAMANTE RF CRED PRIV LP;0,12;Conservador;1.040,59;257,811
12/05/2021;CAIXA FI SAFIRA CORPORATIVO RF LP;0,1;Conservador;2,761936;4.113,31
12/05/2021;FI SAUDE SUPLEMENTAR-ANS II RF LP;0,07;Conservador;2,899272;481,569
12/05/2021;FIC ATLETA INVEST RF CRED PRIV LP;0,4;Moderado;1,896857;4,059
12/05/2021;FI CNI RF LP;0,15;Moderado;4,938956;2.103,47
12/05/2021;FI SEBRAE RF LP;0,1;Moderado;10,05858;1.450,56
12/05/2021;FIC BETA RF REF DI LP;1,5;Conservador;18,394539;178,249
12/05/2021;FI BRASIL RF REF DI LP;0,2;Moderado;3,763469;5.844,34
12/05/2021;FIC NOVO BRASIL RF REF IMA-B LP;0,2;Moderado;3,847327;2.756,00
12/05/2021;FIC GIRO IMEDIATO RF REF DI LP;1,5;Conservador;1,713852;8.384,12
12/05/2021;FIC PLENO RF REF DI LP;0,7;Conservador;2,060819;764,026
12/05/2021;FIC PREFERENCIAL RF REF DI LP;0,6;Conservador;5,511929;2.338,94
12/05/2021;FIC SIGMA RF REF DI LP;0,35;Conservador;2,548175;10.352,41
12/05/2021;FIC RUBI RF REF DI LP;0,3;Conservador;2,674906;8.278,42
12/05/2021;CAIXA FI TOPAZIO CORPORATIVO REF DI;0,1;Conservador;2,50231;5.509,09
12/05/2021;FIC PRATICO RF CURTO PRAZO;1,7;Conservador;5,994022;26.775,55
12/05/2021;FIC LIQUIDEZ POLIS RF CP;1,7;Conservador;4,437461;588,31
12/05/2021;FIC FUNDACOES RF CP;0,4;Conservador;12,042284;57,015
12/05/2021;FIC TURQUESA CORPORATIVO RF CP;0,1;Conservador;1.011,75;4.424,62
12/05/2021;FIC TRANSFERNCIA VOLUNTARIA RF CP;1,7;Conservador;1,5775;2.925,31
12/05/2021;FI MULTIMERCADO RV30 LP;1;Arrojado;7,970356;1.989,64
12/05/2021;FIC JUROS E MOEDAS MM PLUS LP;1;Arrojado;1,124889;77,4
12/05/2021;FI OURO MULTIMERCADO LP;0,8;Agressivo;1,516325;249,086
12/05/2021;FIC HEDGE MULTIMERCADO LONGO PRAZO;1;Arrojado;1.005,74;29,795
